address,lat,lon
"Тройка, Советская улица, 170",53.359872,58.960466
"Контейнер около дома по ул. Советская улица, 183",53.370909,58.962505
"Контейнер около дома по пр. Ленина, 131",53.369781,58.991224
"Контейнер около дома по пр. Карла Маркса, 231/1",53.350191,58.979989
"Контейнер около дома по ул. Тевосяна, 25/1",53.355276,58.956335
"Контейнер около дома по ул. 50-летия Магнитки, 67/1",53.356598,58.953821
"Контейнер около дома по ул. 50-летия Магнитки, 63",53.357261,58.955314
"Контейнер около дома по ул. Тевосяна, 17",53.359304,58.951962
"Контейнер около дома по ул. Тевосяна, 15",53.359964,58.95229
"Контейнер около дома по ул. Тевосяна, 11",53.362731,58.952261
"Контейнер около дома по ул. Труда, 51",53.364213,58.953351
"Контейнер около дома по ул. 50-летия Магнитки, 56",53.360099,58.95694
"Контейнер около дома по ул. 50-летия Магнитки, 50",53.360256,58.95893
"Контейнер около дома по ул. 50-летия Магнитки, 52/1 к2",53.361078,58.957627
"Контейнер около дома по ул. Советская, 168",53.361189,58.960018
"Контейнер около дома по ул. Советская, 166",53.362498,58.960769
"Контейнер около дома по ул. Труда, 41",53.363889,58.960036
"Контейнер около дома по ул. Калмыкова, 3",53.364737,59.001205
"Контейнер около дома по пр. Ленина, 156",53.364118,58.989417
"Контейнер около дома по ул. Труда, 15/2",53.364433,58.987943
"Контейнер около дома по ул. Труда, 21/1",53.364243,58.985985
"Контейнер около дома по ул. Труда, 23а",53.364642,58.979894
"Контейнер около дома по ул. Ленина, 125",53.372418,58.991818
"Контейнер около дома по ул. Карла Маркса, 179",53.367361,58.979841
"Контейнер около дома по ул. Ворошилова, 21",53.370451,58.982669
"Контейнер около дома по ул. Карла Маркса, 171",53.371222,58.979899
"Контейнер около дома по ул. Карла Маркса, 161",53.374224,58.97972
"Контейнер около дома по ул. Карла Маркса, 155",53.376785,58.979739
"Контейнер около дома по ул. Карла Маркса, 184",53.373315,58.976335
"Контейнер около дома по ул. ​Советский переулок, 12а",53.392142,58.967884
"Контейнер около дома по ул. Карла Маркса, 164/5",53.383173,58.976376
"Контейнер около дома по ул. Карла Маркса, 147",53.381268,58.980053
"Контейнер около дома по ул. Завенягина, 4/2",53.381225,58.986062
"Контейнер около дома по пр. Ленина, 128",53.381198,58.988443
"Контейнер около дома по ул. Ленина, 122/2",53.383296,58.988132
"Контейнер около дома по ул. Ленина, 122",53.383137,58.989287
"Контейнер около дома по ул. Ленина, 116",53.38574,58.988315
"Контейнер около дома по ул. Сталеваров, 22",53.386478,58.984206
"Контейнер около дома по ул. Сталеваров, 18",53.386505,58.9811
"Контейнер около дома по ул. Карла Маркса, 141/6",53.384754,58.981235
"Контейнер около дома по ул. Советской Армии, 29/1",53.390774,58.980778
"Контейнер около дома по ул. Сталеваров, 33",53.390967,58.985236
"Контейнер около дома по ул. Карла Маркса, 121/1",53.392431,58.979483
"Контейнер около дома по ул. Карла Маркса, 121/5",53.393346,58.981956
"Контейнер около дома по ул. Грязнова, 44/3",53.393769,58.989456
"Контейнер около дома по ул. Ленина, 88",53.400471,58.984399
"Контейнер около дома по ул. Ленина, 84",53.402214,58.984472
"Контейнер около дома по ул. Суворова, 111",53.403708,58.972301
"Контейнер около дома по ул. Ленина, 78/1",53.404858,58.983366
"Контейнер около дома по ул. Карла Маркса, 89",53.40546,58.979363
"Контейнер около дома по ул. им. Газеты Правда, 11",53.405754,58.980976
"Контейнер около дома по ул. им. Газеты Правда, 26/1",53.40907,58.975699
"Контейнер около дома по ул. Ленина, 65/1",53.414037,58.986609
"Контейнер около дома по ул. Ленинградская, 21",53.417133,58.986267
"Контейнер около дома по ул. Ленинградская, 13/1",53.417135,58.99323
"Контейнер около дома по ул. Чапаева, 19/1",53.419727,59.000266
"Контейнер около дома по ул. Ленинградская, 22/1",53.418779,58.983461
"Контейнер около дома по ул. Калинина, 17",53.419611,58.986436
"Контейнер около дома по ул. Металлургов, 17/1",53.421707,58.985794
"Контейнер около дома по ул. Куйбышева, 20",53.421136,58.991823
"Контейнер около дома по ул. Металлургов, 5/1",53.421356,58.994616
"Контейнер около дома по ул. Металлургов, 3/2",53.42146,58.998681
"Контейнер около дома по ул. Строителей, 58/1",53.423219,58.999428
"Контейнер около дома по ул. Строителей, 49",53.423373,59.001456
"Контейнер около дома по ул. Куйбышева, 12",53.423406,58.992178
"Контейнер около дома по ул. Металлургов, 12/4",53.423424,58.98912
"Контейнер около дома по ул. Металлургов, 18/1",53.423653,58.985478
"Контейнер около дома по ул. Ленина, 33",53.425718,58.984542
"Контейнер около дома по ул. Комсомольская, 23",53.425714,58.986667
"Контейнер около дома по ул. ​Комсомольская, 19",53.42582,58.989327
"Контейнер около дома по ул. ​Ленина, 19/3",53.430727,58.985055
"Контейнер около дома по ул. Герцена, 2/1",53.433025,58.973706
"Контейнер около дома по ул. Ленина, 2/2",53.436072,58.981873
